2026-05-24 10:29:39.374 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-24 10:29:39.446 [main] INFO  e.j.e.EstudianteNotasApplication - Starting EstudianteNotasApplication using Java 21.0.10 with PID 21252 (C:\Users\brand\Downloads\estudiante_notas(2)\estudiante_notas\target\classes started by brand in C:\Users\brand\Downloads\estudiante_notas(2)\estudiante_notas)
2026-05-24 10:29:39.447 [main] DEBUG e.j.e.EstudianteNotasApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-05-24 10:29:39.447 [main] INFO  e.j.e.EstudianteNotasApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-24 10:29:40.901 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-24 10:29:41.089 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 161 ms. Found 5 JPA repository interfaces.
2026-05-24 10:29:42.575 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-05-24 10:29:42.592 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-05-24 10:29:42.597 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-24 10:29:42.597 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-05-24 10:29:42.710 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-24 10:29:42.712 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3172 ms
2026-05-24 10:29:42.802 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-24 10:29:43.208 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:notasdb user=SA
2026-05-24 10:29:43.210 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-24 10:29:43.230 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:notasdb'
