
2026-05-24 10:46:58.719 | TIPO:SIN_SESION | IP:127.0.0.1 | USER_AGENT:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0 | METODO:GET | ENDPOINT:/api/notas/alumno/1 | TIMESTAMP:2026-05-24T10:46:58.7192369
2026-05-24 10:52:32.931 | TIPO:ROL_NO_COINCIDE | DETALLE:El usuario no tiene el rol 'ALUMNO' | TIMESTAMP:2026-05-24T10:52:32.931819500
2026-05-24 10:52:32.938 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:El usuario no tiene el rol 'ALUMNO' | TIMESTAMP:2026-05-24T10:52:32.938875400
2026-05-24 10:52:56.476 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-24T10:52:56.476375100
2026-05-24 10:52:56.491 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-24T10:52:56.491353900
2026-05-24 11:52:43.987 | TIPO:SIN_SESION | IP:127.0.0.1 | USER_AGENT:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0 | METODO:GET | ENDPOINT:/api/notas/alumno/2/promedio-general | TIMESTAMP:2026-05-24T11:52:43.9879344
2026-05-24 14:41:58.034 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-24T14:41:58.034086500
2026-05-24 14:41:58.034 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-24T14:41:58.034086500
2026-05-24 14:42:16.665 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-24T14:42:16.665782300
2026-05-24 14:42:16.665 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-24T14:42:16.665782300
2026-05-30 13:46:13.278 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:13.278924500
2026-05-30 13:46:13.295 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:13.295028600
2026-05-30 13:46:28.238 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:28.232622400
2026-05-30 13:46:28.244 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:28.244997500
2026-05-30 13:46:30.132 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:30.132153500
2026-05-30 13:46:30.132 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:30.132153500
2026-05-30 13:46:31.089 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:31.089892100
2026-05-30 13:46:31.094 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:31.094714800
2026-05-30 13:46:31.332 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:31.332193400
2026-05-30 13:46:31.336 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:31.336294100
2026-05-30 13:46:31.547 | TIPO:CREDENCIALES_INVALIDAS | DETALLE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:31.547330900
2026-05-30 13:46:31.547 | TIPO:EXCEPCION_SEGURIDAD | MENSAJE:Credenciales inválidas | TIMESTAMP:2026-05-30T13:46:31.547330900
